Dutech,CZ4,DTHL.SI
Duty Free Intl,5SO,DUTY.SI
Dyna-Mac,NO4,DMHL.SI
Dynamic Colours,D6U,DYCL.SI
Eagle HTrust USD,LIW,EAGL.SI
EC World Reit,BWCU,ECWO.SI
EcoWise,5CT,ECOW.SI
Edition,5HG,EDIT.SI
Eindec,42Z,EIND.SI
Elec & Eltek USD,E16,EELT.SI
EliteComREIT GBP,MXNU,ELIE.SI
Ellipsiz,BIX,ELPZ.SI
EMAS Offshore,UQ4,
Eneco Energy,R14,ENEC.SI
EnGro,S44,ENGR.SI
Envictus,BQD,ETIK.SI
Enviro-Hub,L23,EHHL.SI
Epicentre,5MQ,EPHL.SI
ES,5RC,ESGL.SI
ESR-REIT,J91U,ESRR.SI
ETC Singapore,1C0,EMER.SI
EuroSports Gbl,5G1,EURO.SI
Excelpoint,BDF,EXCE.SI
Ezion,5ME,EZHL.SI
Ezra,5DN,EZRA.SI
F & N,F99,FRNM.SI
Fabchem China,BFT,FBCH.SI
Falcon Energy,5FL,FEGL.SI
Far East,5TJ,FAEA.SI
Far East HTrust,Q5T,FAEH.SI
Far East Orchard,O10,FARE.SI
Federal Int,BDU,FEDL.SI
Figtree,5F4,FIGT.SI
First Reit,AW9U,FRET.SI
First Resources,EB5,FRLD.SI
First Sponsor,ADN,FSCA.SI
FJ Benjamin,F10,FJBN.SI
Food Empire,F03,FEMP.SI
Forise Int,8A1,FOIL.SI
FortressMinerals,OAJ,FORR.SI
Fragrance,F31,FRAG.SI
Frasers Cpt Tr,J69U,FCRT.SI
Frasers HTrust,ACV,FRHO.SI
Frasers L&C Tr,BUOU,FRAE.SI
Frasers Property,TQ5,FRPL.SI
Frencken,E28,FREN.SI
FSL Trust,D8DU,FSLT.SI
Fu Yu,F13,FUYU.SI
Fuji Offset,508,FOPS.SI
Full Apex,BTY,FULL.SI
Fuxing China,AWK,FXCG.SI
G Invacom,QS9,GLOB.SI
G K Goh,G41,GKHS.SI
Gallant Venture,5IG,GLVT.SI
GCCP,41T,GCCP.SI
GDS Global,5VP,GDSG.SI
Genting Sing,G13,GENS.SI
Geo Energy Res,RE4,GEOE.SI
GKE,595,GKEC.SI
GL,B16,GLLI.SI
Global Dragon,586,GLOL.SI
Global Inv,B73,GLNV.SI
Global Palm Res,BLW,GPRL.SI
Global Testing,AYN,GTCL.SI
Golden Agri-Res,E5H,GAGR.SI
Golden Energy,AUE,GOLD.SI
Goodland,5PC,GLGP.SI
GP Industries,G20,GPEI.SI
Grand Banks,G50,GBYL.SI
Grand Venture,JLB,GRAN.SI
Great Eastern,G07,GELA.SI
Green Build,Y06,GREE.SI
GRP,BLU,GRPS.SI
GS Hldg,43A,GSHO.SI
GSH,BDX,GSHC.SI
GSS Energy,41F,GSSE.SI
Guoan Intl,G11,0143.HK
GuocoLand,F17,GUOC.SI
GYP Properties,AWS,GYPP.SI
Hafary,5VS,HFRY.SI
Hai Leck,BLH,HLHL.SI
Halcyon Agri,5VJ,HALC.SI
Hanwell,DM0,HANW.SI
Hatten Land,PH0,HATT.SI
Haw Par,H02,HPAR.SI
HC Surgical,1B1,HCSU.SI
HealthBank,40B,HEAL.SI
